time,actual time,voltage,current,chargeq,dischargeq,CE
5980,15742,4.25571,0.223081,,,
5990,15752,4.25411,0.220237,,,
6000,15762,4.25439,0.213534,,,
6010,15772,4.25442,0.208392,,,
6020,15782,4.2549,0.203167,,,
6030,15792,4.2552,0.200918,,,
6040,15802,4.25566,0.196948,,,
6050,15812,4.25595,0.191963,,,
6060,15822,4.25622,0.191945,,,
6070,15832,4.25663,0.189469,,,
6080,15842,4.25581,0.189469,,,
6090,15852,4.25402,0.185695,,,
6100,15862,4.25423,0.182787,,,
6110,15872,4.25442,0.179495,,,
6120,15882,4.25467,0.177715,,,
6130,15892,4.25487,0.174616,,,
6140,15902,4.25523,0.173544,,,
6150,15912,4.25553,0.172794,,,
6160,15922,4.25581,0.17063,,,
6170,15932,4.25614,0.169083,,,
6180,15943,4.25652,0.169408,,,
6190,15953,4.25677,0.168984,,,
6200,15963,4.25554,0.167235,,,
6210,15974,4.25575,0.164194,,,
6220,15984,4.25601,0.159777,,,
6230,15994,4.25624,0.15675,,,
6240,16004,4.2566,0.15592,,,
6250,16014,4.25365,0.152982,,,
6260,16024,4.25377,0.146383,,,
6270,16035,4.25375,0.143172,,,
6280,16045,4.25398,0.138692,,,
6290,16055,4.25417,0.133695,,,
6300,16065,4.25449,0.132518,,,
6310,16075,4.25469,0.132616,,,
6320,16085,4.25492,0.130835,,,
6330,16095,4.25523,0.128632,,,
6340,16105,4.25529,0.126344,,,
6350,16116,4.25552,0.12412,,,
6360,16126,4.25566,0.125136,,,
6370,16136,4.25606,0.125383,,,
6380,16147,4.25635,0.127983,,,
6390,16158,4.25653,0.126455,,,
6400,16168,4.25621,0.124893,,,
6410,16178,4.25565,0.122966,,,
6420,16188,4.25571,0.122061,,,
6430,16198,4.25584,0.119954,,,
6440,16210,4.2561,0.119238,,,
6450,16220,4.25633,0.118113,,,
6460,16230,4.25655,0.116671,,,
6470,16240,4.25637,0.115045,,,
6480,16250,4.25545,0.111767,,,
6490,16261,4.25551,0.109309,,,
6500,16270,4.25571,0.107787,,,
6510,16280,4.25591,0.107209,,,
6520,16290,4.25597,0.106064,,,
6530,16300,4.25621,0.104327,,,
6540,16310,4.2563,0.103373,,,
6550,16320,4.25663,0.103622,,,
6560,16330,4.25523,0.101358,,,
6570,16340,4.25539,0.0997477,,,
6580,16350,4.25554,0.0977994,,,
6590,16361,4.2556,0.0949513,,,
6600,16371,4.25572,0.0942879,,,
6610,16381,4.25579,0.0924983,,,
6620,16391,4.25608,0.0910501,,,
6630,16401,4.2563,0.0905345,,,
6640,16411,4.25644,0.0889706,,,
6650,16428,4.25652,0.0883209,,,
6660,16438,4.25531,0.0865017,,,
6670,16448,4.25542,0.0834609,,,
6680,16458,4.25548,0.0824153,,,
6690,16469,4.25558,0.0815726,,,
6700,16479,4.25568,0.0796969,,,
6710,16489,4.25585,0.0804988,,,
6720,16499,4.25592,0.0804703,,,
6730,16509,4.25614,0.0792151,,,
6740,16519,4.25625,0.0776268,,,
6750,16529,4.25621,0.0793485,,,
6760,16539,4.25653,0.0804179,,,
6770,16549,4.25598,0.0805732,,,
6780,16560,4.25535,0.0786367,,,
6790,16570,4.25549,0.0763955,,,
6800,16580,4.2555,0.0742144,,,
6810,16590,4.25553,0.0729282,,,
6820,16600,4.25579,0.0720866,,,
6830,16610,4.25591,0.0701816,,,
6840,16620,4.256,0.0695206,,,
6850,16632,4.25602,0.0677233,,,
6860,16642,4.25612,0.0663393,,,
6870,16652,4.25617,0.0665915,,,
6880,16663,4.25633,0.0657538,,,
6890,16672,4.25637,0.0660188,,,
6900,16682,4.25657,0.06701,,,
6910,16692,4.25618,0.0658332,,,
6920,16702,4.25543,0.0654736,,,
6930,16708,4.2553,0.0630784,,,
6940,16739,4.24723,-0.00110732,,,
6950,16769,4.24624,-0.00110718,,,
6960,16799,4.24557,-0.00110696,,,
6970,16829,4.24505,-0.00110691,,,
6980,16860,4.2446,-0.00110675,,,
6990,16891,4.24416,-0.00110664,,,
7000,16921,4.24382,-0.00110653,,,
7010,16952,4.2434,-0.00110642,,,
7020,16982,4.24306,-0.0011064,,,
7030,17012,4.24273,-0.00110626,,,
7040,17042,4.24246,-0.00110615,,,
7050,17072,4.24214,-0.00110615,,,
7060,17105,4.24185,-0.00110604,,,
7070,17136,4.2416,-0.0011061,,,
7080,17167,4.24135,-0.00110593,,,
7090,17198,4.2411,-0.00110585,,,
7100,17230,4.24082,-0.0011058,,,
7110,17259,4.24066,-0.00110577,,,
7120,17289,4.2405,-0.00110569,,,
7130,17308,4.24011,-0.00110564,,,
7140,17319,3.79309,-3.39482,,,
7150,17329,3.76656,-3.395,,,
7160,17339,3.74809,-3.39502,,,
7170,17349,3.73264,-3.3949,,,
7180,17359,3.72051,-3.39475,,,
7190,17370,3.71051,-3.39495,,,
7200,17380,3.70184,-3.39481,,,
7210,17390,3.69454,-3.39484,,,
7220,17400,3.68864,-3.39508,,,
7230,17412,3.68355,-3.39491,,,
7240,17422,3.67836,-3.39522,,,
7250,17432,3.67394,-3.3949,,,
7260,17443,3.67031,-3.39492,,,
7270,17454,3.66642,-3.39498,,,
7280,17464,3.66306,-3.39481,,,
7290,17474,3.6602,-3.39479,,,
7300,17484,3.65782,-3.39488,,,
7310,17494,3.65548,-3.39517,,,
7320,17504,3.65323,-3.39481,,,
7330,17515,3.65167,-3.39483,,,
